China,NA
China,NA
Denmark,NA
Denmark/Sweden,Gold
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
Netherlands,NA
Netherlands,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,Bronze
Finland,Bronze
Finland,NA
Finland,Bronze
Finland,Bronze
Finland,Gold
Finland,NA
Finland,Gold
Finland,NA
Finland,NA
Finland,NA
Finland,Gold
Finland,NA
Finland,Bronze
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Norway,NA
Norway,Gold
Norway,Bronze
Norway,NA
Norway,Silver
Norway,Bronze
Norway,NA
Norway,NA
Norway,Silver
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,Gold
Norway,NA
Norway,NA
Norway,Gold
Norway,NA
Norway,Gold
Norway,Gold
Romania,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,Silver
Norway,NA
Netherlands,NA
Norway,NA
Norway,NA
Netherlands,Bronze
Netherlands,Silver
Netherlands,NA
Estonia,NA
Norway,NA
Finland,NA
Finland,NA
France,NA
Norway,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Norway,Bronze
Norway,Silver
Norway,NA
Norway,NA
Norway,NA
Norway,Bronze
Norway,NA
Norway,NA
Norway,Gold
Norway,NA
Norway,NA
Norway,NA
Taifun,Gold
Norway,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Morocco,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
France,NA
Egypt,NA
Iran,NA
Spain,NA
France,NA
France,Gold
Bulgaria,NA
Bulgaria,NA
Bulgaria,NA
Bulgaria,NA
Bulgaria,NA
Bulgaria,NA
Bulgaria,NA
Italy,Bronze
Spain,Bronze
Chad,NA
Azerbaijan,Bronze
Sudan,NA
Russia,Silver
Russia,NA
Argentina,NA
Argentina,NA
Spain,NA
Cuba,NA
Cuba,NA
Cuba,NA
Belarus,NA
Belarus,Gold
France,Gold
France,Gold
France,Silver
Argentina,NA
Greece,NA
Cameroon,Gold
Cameroon,NA
Turkey,NA
Chile,NA
Spain,Gold
Greece,NA
Mexico,NA
Chile,NA
United States,Silver
Spain,NA
Spain,Gold
Spain,NA
Spain,NA
Spain,Bronze
